"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"157",2014,662065.243100487,509719.841507712,1171925.51247303,13.4501420427307,0.206867624570975,"24","fle",662.065243100487,509.719841507712,1171.92551247303
"158",2015,743908.325725658,551249.690019369,1171608.01972121,13.5398478635864,0.230335540625652,"24","fle",743.908325725658,551.249690019369,1171.60801972121
"159",2016,641644.847232788,519029.570667725,1066915.40254158,13.4075829637483,0.195041141670924,"24","fle",641.644847232788,519.029570667725,1066.91540254158
"160",2017,671778.189035047,514912.996897673,1151991.28348822,13.4472551058528,0.20850005147909,"24","fle",671.778189035047,514.912996897673,1151.99128348822
"161",2018,665781.925892142,499649.4052078,1079387.44851026,13.4319238180806,0.211315297415986,"24","fle",665.781925892142,499.6494052078,1079.38744851026
"162",2019,1231531.2998319,465266.449634725,3306838.90244144,14.0434898181683,0.524190742881218,"24","fle",1231.5312998319,465.266449634725,3306.83890244144
"163",1993,206556.782396831,83842.9252355299,652153.824375744,12.3129777438848,0.59387068767521,"25","fle",206.556782396831,83.8429252355298,652.153824375744
"164",1994,129152.426861182,51287.0279401018,376179.306850994,11.75922617904,0.516274227925909,"25","fle",129.152426861182,51.2870279401018,376.179306850994
"165",1995,349907.932508874,139629.310354329,1057129.50377961,12.8643060564516,0.561661858429778,"25","fle",349.907932508874,139.629310354329,1057.12950377961
"166",1996,233007.857846013,101064.332250668,634509.206909354,12.3465853640964,0.469020604834908,"25","fle",233.007857846013,101.064332250668,634.509206909354
"167",1997,155108.367114221,79921.6716898596,394946.416224683,12.0172691984533,0.445315447186598,"25","fle",155.108367114221,79.9216716898596,394.946416224683
"168",1998,82493.0886465408,33770.1857819553,241481.194946874,11.3386874196643,0.484143315583997,"25","fle",82.4930886465408,33.7701857819553,241.481194946874
"169",1999,43940.8408501492,20536.3851530928,120363.396732077,10.7289713917001,0.486231335187803,"25","fle",43.9408408501492,20.5363851530928,120.363396732077
"170",2000,79793.7682007886,35631.2949927406,240453.31158642,11.3310413995272,0.494898148285047,"25","fle",79.7937682007886,35.6312949927406,240.45331158642
"171",2001,127226.034699204,63080.7310549943,457462.214079164,11.7964615501433,0.496330384783513,"25","fle",127.226034699204,63.0807310549943,457.462214079164
"172",2002,376193.182331922,174426.728906502,1138478.52035488,12.9145982093132,0.529380397299687,"25","fle",376.193182331922,174.426728906502,1138.47852035488
"173",2003,157689.651769475,67889.7505167792,396300.421639644,11.9967877869635,0.445714189657837,"25","fle",157.689651769475,67.8897505167792,396.300421639644
"174",2004,297283.792636056,134847.38501428,870341.451646136,12.6404499475886,0.518862615261392,"25","fle",297.283792636056,134.84738501428,870.341451646136
"175",2005,291506.884566806,149807.510459427,1706639.73673864,12.7220962189552,0.604078177140385,"25","fle",291.506884566806,149.807510459427,1706.63973673864
"176",2006,253550.994149567,124900.848592036,1035336.5634099,12.5438301198995,0.535950324629296,"25","fle",253.550994149567,124.900848592036,1035.3365634099
"177",2007,286495.737135281,152661.442337087,1246503.43154995,12.6821063241058,0.546858352163341,"25","fle",286.495737135281,152.661442337087,1246.50343154995
"178",2008,287808.205337962,147502.2018772,1172896.43549763,12.6460284708661,0.528576581125455,"25","fle",287.808205337962,147.5022018772,1172.89643549763
"179",2009,345556.200325267,218320.03037857,837491.19518881,12.8327682530904,0.374739632252835,"25","fle",345.556200325267,218.32003037857,837.49119518881
"180",2010,402813.865223901,221015.078531815,917498.118913329,12.8986909368111,0.372291180001495,"25","fle",402.813865223901,221.015078531815,917.498118913329
"181",2011,255493.555686922,149580.742034833,626472.000122061,12.504316419083,0.354928383247761,"25","fle",255.493555686922,149.580742034833,626.472000122061
"182",2012,253020.839780079,150567.129411859,499753.35446138,12.4723342933091,0.317079444899038,"25","fle",253.020839780079,150.567129411859,499.75335446138
"183",2013,274094.335329222,183418.766463283,587242.000739376,12.5728622728304,0.30178997609512,"25","fle",274.094335329222,183.418766463283,587.242000739376
"184",2014,298057.119477481,190287.472222358,603124.738859674,12.6506909072225,0.321767903553681,"25","fle",298.057119477481,190.287472222358,603.124738859674
"185",2015,319363.651271243,207996.262138779,679944.022270872,12.7708171617159,0.340934232766901,"25","fle",319.363651271243,207.996262138779,679.944022270872
"186",2016,338974.780343095,234925.270940639,782234.660772748,12.7934463110477,0.328460286104907,"25","fle",338.974780343095,234.925270940639,782.234660772748
"187",2017,353397.465743054,231917.976806822,787205.880246707,12.804836282866,0.308266107543711,"25","fle",353.397465743054,231.917976806822,787.205880246707
"188",2018,259490.122701214,180899.662128108,513640.725245358,12.4871176279436,0.282359036418464,"25","fle",259.490122701214,180.899662128108,513.640725245358
